Hospital_Referral_Region,Outpatient_Services,Average_Estimated_Submitted_Charges,Average_Total_Payments
CA - Alameda County,13,884.3076923,405.0915385
AR - Little Rock,29,1123.706207,248.8651724
AR - Fort Smith,84,1630.598333,233.8538095
DE - Wilmington,17,692.3617647,330.3335294
CT - New Haven,11,3647.066364,375.67
CA - San Mateo County,12,929.9183333,433.4891667
CA - Modesto,59,752.4576271,372.4113559
CA - Redding,13,1473.307692,396.4084615
AK - Anchorage,16,745.31625,407.786875
FL - Pensacola,24,781.1333333,260.9045833
AZ - Tucson,13,2163.488462,271.0476923
FL - Ormond Beach,11,7532.941818,292.88
MD - Salisbury,16,389.625,317.23
CA - San Francisco,94,750.3723404,372.0117021
FL - Orlando,12,12587.33333,295.02
CA - Los Angeles,128,987.1564063,337.55375
AL - Birmingham,16,3741.180625,263.56
AR - Little Rock,29,414.6551724,264.7675862
FL - Clearwater,16,975.566875,285.39375
AL - Birmingham,103,2109.941845,222.8035922
CT - Hartford,283,536.9484452,318.9577385
CA - Sacramento,71,328.2816901,319.9828169
CO - Colorado Springs,15,5529.996667,289.2353333
CA - Orange County,17,2368.542941,346.7141176
CT - Hartford,11,1794.347273,371.5163636
AL - Dothan,14,4165.27,278.04
CO - Denver,140,1970.094786,292.0889286
FL - Miami,13,679.9230769,273.8492308
AZ - Tucson,27,1646.428148,236.7925926
CA - Palm Springs/Rancho M,103,1408.896602,356.8117476
CA - Contra Costa County,23,19.08695652,434.9252174
CT - Hartford,80,496.525,341.16975
CT - Bridgeport,18,2820.870556,375.67
CA - Sacramento,125,3779.51512,389.44888
FL - Orlando,44,521.3786364,292.88
FL - Pensacola,16,1326.3125,233.351875
AR - Little Rock,14,3061.43,304.05
CA - Ventura,15,38,370.56
CA - Chico,11,2074.272727,360.31
AR - Little Rock,49,609.0332653,275.1614286
AR - Little Rock,39,834.7435897,304.0992308
CA - San Mateo County,92,3003.463913,331.5280435
CT - Hartford,14,1713.007143,337.0942857
AL - Birmingham,11,1847.272727,268.7809091
ID - Boise,115,135.226087,293.3673913
WA - Spokane,31,345,299.0845161
GA - Augusta,25,1024.4652,288.2528
IA - Mason City,251,351.2954183,294.2104781
IL - Springfield,68,1001.399412,285.9980882
IA - Des Moines,20,795.5765,292.8215
TN - Knoxville,21,819.0361905,261.4042857
GA - Atlanta,14,6208.702143,291.74
KY - Lexington,11,2659.265455,245.1736364
IA - Waterloo,171,220.8696491,250.9893567
KY - Louisville,14,3470.851429,290.39
SD - Sioux Falls,26,364.8403846,256.59
TN - Nashville,11,4834.938182,293.29
IL - Melrose Park,65,1279.292615,308.642
IN - Indianapolis,17,1934.470588,304.1235294
IL - Peoria,23,890.2347826,283.27
GA - Savannah,17,1651.2,308.44
KY - Louisville,11,8371.902727,290.39
KS - Wichita,25,352.2,290.4324
IL - Blue Island,14,4090.207143,318.41
IN - Indianapolis,16,322.7,265.396875
IL - Urbana,73,1177.786712,291.1516438
IL - Chicago,73,2291.177808,264.3349315
IL - Chicago,18,1674.653333,300.7211111
IL - Blue Island,15,7208.29,318.41
ID - Boise,26,763.4561538,275.5276923
IN - Indianapolis,16,955.709375,313.49
IL - Rockford,159,1051.506289,291.2386164
IL - Peoria,20,1925.955,226.8825
IN - Terre Haute,14,7237.232143,313.34
FL - Panama City,12,151.6275,249.5525
ID - Boise,102,82.37254902,287.8410784
HI - Honolulu,76,465.5197368,314.8094737
IN - Indianapolis,29,2048.939655,302.5344828
IL - Rockford,66,201.5606061,284.6760606
IN - Munster,36,2320.207222,227.3916667
IA - Davenport,18,2799.322222,299.7977778
KY - Louisville,12,1522.275833,290.39
IN - South Bend,24,492.6666667,296.1054167
IA - Iowa City,72,833.9156944,266.3969444
